Template Name,Item Title,Custom Label SKU,Photo URLs (comma-separated),Photo Count Max,Primary Category,Store Category 1,Store Category 2,Brand,Model,Type,Connectivity,Cable Length,Connector A,Connector B,Item Condition,Description HTML,Cosmetic Condition (1-10),Cosmetic Notes,Functional Notes,Voltage,Serial Number,Original Box,Manual,Power Cord,Shipping Method Notes,Shipping Dimensions Notes,Listing Format,Starting Bid USD,Buy It Now USD,Duration,Quantity,Allow Offers,Package Weight Lbs,Package Weight Oz,Package Length In,Package Width In,Package Height In,Domestic Shipping Fees,Package Type,Item Zip Code,Domestic Service 1,Domestic Service 2,International Shipping Fees,International Destinations,International Service 1,International Service 2,Use Global Shipping Program,Excluded Locations,Handling Cost USD,Combined Shipping Discount Enabled,Combined Shipping Discount Profile,Handling Time Days,Approved
Calculated Shipping + Combined Enabled,,,,24,Consumer Electronics,,,,,,,,,,,Used,,,,,,,,,,,Buy It Now,,,7 days,1,FALSE,,,,,,Calculated,Package/Thick Envelope,11205,UPS Ground,UPS 3-Day Select,Calculated,Worldwide,USPS Priority Mail International,eBay International Standard Delivery,TRUE,None,0,TRUE,Untitled Calculated Discount Profile (HighEndAudioAuctions),3,TRUE
Flat Shipping + Combined Disabled,,,,24,Consumer Electronics,,,,,,,,,,,Used,,,,,,,,,,,Buy It Now,,,7 days,1,FALSE,,,,,,Flat,Package/Thick Envelope,11205,UPS Ground,UPS 3-Day Select,Flat,Worldwide,USPS Priority Mail International,eBay International Standard Delivery,TRUE,None,0,FALSE,,3,FALSE
